,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
0,Afghanistan,AFG,8,1282.64,0.479,29.82500076293945,8.100000381469727,NaN,3.780280113220215,48.75032043457031,True
1,Albania,ALB,1,8516.7002,0.76200002,NaN,7.099999904632568,4.111338615417481,3.539439916610718,85.27821350097656,False
2,Algeria,DZA,3,5402.1699,0.74299997,39.11399841308594,5.099999904632568,2.977302312850952,NaN,NaN,False
3,Andorra,AND,5,32367.33,0.85699999,NaN,NaN,NaN,2.997809886932373,NaN,True
4,Angola,AGO,4,3771.2,0.53100002,25.78899955749512,6.0,2.134715557098389,NaN,NaN,False
5,Antigua and Barbuda,ATG,10,12257.71,0.78399998,NaN,7.300000190734863,NaN,NaN,79.73143768310547,True
6,Azerbaijan,AZE,1,9793.3096,0.75800002,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,NaN,False
7,Argentina,ARG,2,15102.61,0.82599998,41.73300170898438,3.0,2.983357429504395,5.32548999786377,88.24600219726562,False
8,Australia,AUS,5,38611.949,0.93699998,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789,False
9,Austria,AUT,5,38868.039,0.89200002,8.543999671936035,1.5,4.492074966430664,5.499549865722656,NaN,False
10,Bahamas,BHS,10,21672.029,0.79000002,0.3560000061988831,5.0,NaN,NaN,NaN,True
11,Bahrain,BHR,3,22498.48,0.82300001,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562,False
12,Bangladesh,BGD,8,1796.64,0.57499999,154.6950073242188,7.5,3.293149709701538,1.957260012626648,57.23989868164063,False
13,Armenia,ARM,1,6451.9399,0.741,2.980000019073486,6.0,3.455313444137573,2.246599912643433,NaN,False
14,Barbados,BRB,10,22888.971,0.79400003,0.2790000140666962,5.400000095367432,5.040225982666016,6.573299884796143,99.42874908447266,False
15,Belgium,BEL,5,33764.711,0.89499998,11.18099975585938,1.899999976158142,5.328890800476074,6.585140228271484,95.2855987548828,False
16,Bhutan,BTN,8,5639.02,0.60399997,0.765999972820282,6.800000190734863,4.033873081207275,5.924600124359131,62.83831024169922,False
17,Bolivia,BOL,2,4023.8701,0.671,10.07800006866455,6.400000095367432,3.348756313323975,7.285459995269775,76.53546142578125,False
18,Bosnia and Herzegovina,BIH,1,8507.6504,0.74699998,3.871000051498413,5.5,2.355769157409668,NaN,NaN,False
19,Botswana,BWA,4,12770.73,0.69800001,NaN,5.099999904632568,3.523580312728882,NaN,NaN,False
20,Brazil,BRA,2,9815.2402,0.75400001,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,False
21,Belize,BLZ,10,6649.1401,0.70599997,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484,False
22,Solomon Islands,SLB,9,2113.0601,0.514,0.5619999766349792,6.300000190734863,NaN,NaN,NaN,True
23,Brunei,BRN,7,46103.84,0.86400002,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438,False
24,Bulgaria,BGR,1,13967.45,0.792,7.202000141143799,4.599999904632568,3.387006282806397,4.061970233917236,88.16580963134766,False
25,Myanmar,MMR,7,5733.3701,0.55199999,51.41899871826172,5.699999809265137,2.659119129180908,NaN,48.25643920898438,False
26,Burundi,BDI,4,663.57001,0.40599999,NaN,6.800000190734863,2.595248937606812,5.416419982910156,24.94817924499512,False
27,Belarus,BLR,1,17780.641,0.79799998,9.468000411987305,3.400000095367432,NaN,4.990439891815186,99.46544647216795,True
28,Cambodia,KHM,7,1927.0601,0.55800003,14.60499954223633,7.5,3.17626953125,1.901970028877258,NaN,False
29,Cameroon,CMR,4,2658.51,0.514,NaN,7.5,3.810850858688355,3.029900074005127,43.13555908203125,False
