,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,flagnull
0,Afghanistan,AFG,8,1282.64,0.479,29.82500076293945,NaN,0.0099999998,NaN,8.182273864746094,False
1,Albania,ALB,1,8516.7002,0.76200002,NaN,15.0,4.5100002,29.700001,5.883105278015137,True
2,Algeria,DZA,3,5402.1699,0.74299997,39.11399841308594,17.20000076293945,0.52999997,NaN,7.207178115844727,False
3,Andorra,AND,5,32367.33,0.85699999,NaN,NaN,9.9799995,33.099998,8.127135276794434,True
4,Angola,AGO,4,3771.2,0.53100002,25.78899955749512,99.5,8.3299999,NaN,3.30698299407959,False
5,Antigua and Barbuda,ATG,10,12257.71,0.78399998,NaN,NaN,8.5600004,NaN,5.541683197021484,True
6,Azerbaijan,AZE,1,9793.3096,0.75800002,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367,False
7,Argentina,ARG,2,15102.61,0.82599998,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176,False
8,Australia,AUS,5,38611.949,0.93699998,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115,False
9,Austria,AUT,5,38868.039,0.89200002,8.543999671936035,3.299999952316284,12.32,NaN,11.20547294616699,False
10,Bahamas,BHS,10,21672.029,0.79000002,0.3560000061988831,NaN,9.4499998,NaN,7.742364883422852,False
11,Bahrain,BHR,3,22498.48,0.82300001,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686,False
12,Bangladesh,BGD,8,1796.64,0.57499999,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571,False
13,Armenia,ARM,1,6451.9399,0.741,2.980000019073486,14.69999980926514,3.9100001,28.0,4.480149269104004,False
14,Barbados,BRB,10,22888.971,0.79400003,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516,False
15,Belgium,BEL,5,33764.711,0.89499998,11.18099975585938,3.400000095367432,12.6,23.9,10.59475135803223,False
16,Bhutan,BTN,8,5639.02,0.60399997,0.765999972820282,35.70000076293945,0.23,NaN,3.573014736175537,False
17,Bolivia,BOL,2,4023.8701,0.671,10.07800006866455,32.79999923706055,3.6199999,NaN,6.334827423095703,False
18,Bosnia and Herzegovina,BIH,1,8507.6504,0.74699998,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102,False
19,Botswana,BWA,4,12770.73,0.69800001,NaN,41.0,5.7600002,NaN,5.412002563476563,True
20,Brazil,BRA,2,9815.2402,0.75400001,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578,False
21,Belize,BLZ,10,6649.1401,0.70599997,0.3499999940395355,15.69999980926514,6.5799999,NaN,5.788949966430664,False
22,Solomon Islands,SLB,9,2113.0601,0.514,0.5619999766349792,NaN,0.99000001,NaN,5.05106258392334,False
23,Brunei,BRN,7,46103.84,0.86400002,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,False
24,Bulgaria,BGR,1,13967.45,0.792,7.202000141143799,10.5,12.03,36.799999,8.442913055419922,False
25,Myanmar,MMR,7,5733.3701,0.55199999,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288,False
26,Burundi,BDI,4,663.57001,0.40599999,NaN,66.9000015258789,4.1599998,NaN,7.535565376281738,True
27,Belarus,BLR,1,17780.641,0.79799998,9.468000411987305,NaN,13.94,27.9,5.687721729278565,False
28,Cambodia,KHM,7,1927.0601,0.55800003,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697,False
29,Cameroon,CMR,4,2658.51,0.514,NaN,61.09999847412109,6.1900001,18.799999,4.103671550750732,True
30,Canada,CAN,5,36577.078,0.91900003,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455,False
31,Cape Verde,CPV,4,3972.6101,0.64600003,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902,False
32,Central African Republic,CAF,4,690.03998,0.347,NaN,NaN,1.66,NaN,4.200222015380859,True
33,Sri Lanka,LKA,8,5466.8701,0.764,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956,False
34,Chad,TCD,4,1651.05,0.39399999,NaN,89.4000015258789,0.63999999,NaN,3.621164321899414,True
