,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,flagnull
95,Lesotho,LSO,4,1539.79,0.495,NaN,7.400000095367432,4.053547382354736,NaN,35.21265029907227,False
3,Andorra,AND,5,32367.33,0.85699999,NaN,NaN,NaN,2.997809886932373,NaN,True
104,Malaysia (1966-),MYS,7,12284.27,0.787,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516,False
20,Brazil,BRA,2,9815.2402,0.75400001,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,False
163,South Sudan,SSD,4,NaN,0.421,NaN,6.900000095367432,NaN,1.712970018386841,NaN,True
136,Philippines,PHL,7,3953.1001,0.67900002,100.1490020751953,6.199999809265137,4.54694414138794,NaN,67.44245910644531,False
2,Algeria,DZA,3,5402.1699,0.74299997,39.11399841308594,5.099999904632568,2.977302312850952,NaN,NaN,False
81,Israel,ISR,3,25926.25,0.898,8.211999893188477,NaN,3.719112396240234,5.757269859313965,98.39215850830078,False
181,Ukraine,UKR,1,9326.7197,0.74800003,42.7599983215332,5.5,3.673648834228516,5.863540172576904,88.56585693359375,False
22,Solomon Islands,SLB,9,2113.0601,0.514,0.5619999766349792,6.300000190734863,NaN,NaN,NaN,True
158,Slovenia,SVN,1,24456.561,0.88800001,2.061000108718872,2.799999952316284,4.07301139831543,5.486589908599854,94.94590759277344,False
21,Belize,BLZ,10,6649.1401,0.70599997,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484,False
16,Bhutan,BTN,8,5639.02,0.60399997,0.765999972820282,6.800000190734863,4.033873081207275,5.924600124359131,62.83831024169922,False
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600028991699,6.300000190734863,NaN,NaN,92.20738220214844,True
64,Germany,DEU,5,39486.699,0.92400002,80.98300170898438,2.099999904632568,5.241913795471191,4.952189922332764,NaN,False
87,Jordan,JOR,3,5188.9199,0.741,6.675000190734863,3.599999904632568,4.585320949554443,NaN,81.37625122070312,False
4,Angola,AGO,4,3771.2,0.53100002,25.78899955749512,6.0,2.134715557098389,NaN,NaN,False
141,Qatar,QAT,3,104049.44,0.85500002,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586,False
101,Luxembourg,LUX,5,61404.48,0.89600003,0.550000011920929,2.099999904632568,4.580255031585693,4.083879947662354,84.60346984863281,False
116,Mozambique,MOZ,4,852.39001,0.414,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266,False
43,Croatia,HRV,1,18020.41,0.82300001,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688,False
79,Iraq,IRQ,3,4178.2598,0.64899999,32.57799911499023,8.100000381469727,NaN,NaN,NaN,True
121,Netherlands,NLD,5,42258.352,0.92299998,16.86499977111816,2.599999904632568,5.304530620574951,5.529379844665527,93.88201904296876,False
180,Uganda,UGA,4,1343.45,0.48800001,37.59999847412109,7.300000190734863,3.571631669998169,2.213870048522949,NaN,False
148,San Marino,SMR,5,42664.211,NaN,0.034000001847744,NaN,NaN,2.383729934692383,NaN,True
85,Japan,JPN,6,36123.77,0.90200001,127.120002746582,2.599999904632568,4.430102348327637,3.591840028762817,99.04267120361328,False
151,Senegal,SEN,4,1527.99,0.491,NaN,7.400000095367432,3.760167360305786,7.396200180053711,NaN,False
138,Portugal,PRT,5,23744.631,0.84100002,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295,False
58,Finland,FIN,5,36958.211,0.89300001,5.427000045776367,2.299999952316284,5.859115123748779,7.168099880218506,94.00318145751952,False
8,Australia,AUS,5,38611.949,0.93699998,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789,False
192,Yemen,YEM,3,2170.9299,0.49900001,NaN,7.5,1.896328449249268,NaN,41.72175979614258,False
108,Mauritania,MRT,4,2223.01,0.51300001,3.36899995803833,6.300000190734863,2.671667814254761,2.93011999130249,23.10231971740723,False
73,Honduras,HND,2,3303.1399,0.62300003,NaN,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984,False
