,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
95,Lesotho,LSO,4,1539.79,0.495,NaN,74.19999694824219,2.3900001,25.4,10.61767673492432
3,Andorra,AND,5,32367.33,0.85699999,NaN,NaN,9.9799995,33.099998,8.127135276794434
104,Malaysia (1966-),MYS,7,12284.27,0.787,30.70899963378906,7.300000190734863,0.51999998,22.299999,4.169077873229981
20,Brazil,BRA,2,9815.2402,0.75400001,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578
163,South Sudan,SSD,4,NaN,0.421,NaN,NaN,NaN,NaN,2.738420724868774
136,Philippines,PHL,7,3953.1001,0.67900002,100.1490020751953,23.5,4.52,26.700001,4.709985256195068
2,Algeria,DZA,3,5402.1699,0.74299997,39.11399841308594,17.20000076293945,0.52999997,NaN,7.207178115844727
81,Israel,ISR,3,25926.25,0.898,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236
181,Ukraine,UKR,1,9326.7197,0.74800003,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
22,Solomon Islands,SLB,9,2113.0601,0.514,0.5619999766349792,NaN,0.99000001,NaN,5.05106258392334
158,Slovenia,SVN,1,24456.561,0.88800001,2.061000108718872,2.5,10.46,20.9,9.23388671875
21,Belize,BLZ,10,6649.1401,0.70599997,0.3499999940395355,15.69999980926514,6.5799999,NaN,5.788949966430664
16,Bhutan,BTN,8,5639.02,0.60399997,0.765999972820282,35.70000076293945,0.23,NaN,3.573014736175537
189,Uzbekistan,UZB,1,7370.7202,0.69700003,29.74600028991699,NaN,2.8299999,13.3,5.838521957397461
64,Germany,DEU,5,39486.699,0.92400002,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
87,Jordan,JOR,3,5188.9199,0.741,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127
4,Angola,AGO,4,3771.2,0.53100002,25.78899955749512,99.5,8.3299999,NaN,3.30698299407959
141,Qatar,QAT,3,104049.44,0.85500002,2.045000076293945,6.300000190734863,1.15,NaN,2.18706226348877
101,Luxembourg,LUX,5,61404.48,0.89600003,0.550000011920929,1.700000047683716,11.12,24.4,6.937873363494873
116,Mozambique,MOZ,4,852.39001,0.414,25.73299980163574,63.09999847412109,1.16,18.799999,6.975581645965576
43,Croatia,HRV,1,18020.41,0.82300001,4.23799991607666,4.0,12.14,36.0,7.803241729736328
79,Iraq,IRQ,3,4178.2598,0.64899999,32.57799911499023,NaN,0.17,NaN,5.538873195648193
121,Netherlands,NLD,5,42258.352,0.92299998,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
180,Uganda,UGA,4,1343.45,0.48800001,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717
148,San Marino,SMR,5,42664.211,NaN,0.034000001847744,NaN,NaN,NaN,6.129065036773682
85,Japan,JPN,6,36123.77,0.90200001,127.120002746582,2.200000047683716,7.5500002,22.799999,10.22874450683594
151,Senegal,SEN,4,1527.99,0.491,NaN,45.20000076293945,0.25999999,11.1,4.664971828460693
138,Portugal,PRT,5,23744.631,0.84100002,10.40100002288818,2.900000095367432,9.8800001,22.6,9.501075744628906
58,Finland,FIN,5,36958.211,0.89300001,5.427000045776367,2.400000095367432,8.8000002,21.799999,9.679908752441406
8,Australia,AUS,5,38611.949,0.93699998,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115
192,Yemen,YEM,3,2170.9299,0.49900001,NaN,46.29999923706055,0.039999999,NaN,5.636990070343018
108,Mauritania,MRT,4,2223.01,0.51300001,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
73,Honduras,HND,2,3303.1399,0.62300003,NaN,19.39999961853027,2.8699999,18.9,8.72268009185791
190,Venezuela,VEN,2,10513.96,0.76899999,NaN,13.10000038146973,6.4699998,NaN,5.256702423095703
185,Tanzania,TZA,4,1416.3,0.51899999,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
124,Nicaragua,NIC,2,2527.1001,0.64200002,5.946000099182129,20.60000038146973,3.55,NaN,9.040139198303224
34,Chad,TCD,4,1651.05,0.39399999,NaN,89.4000015258789,0.63999999,NaN,3.621164321899414
33,Sri Lanka,LKA,8,5466.8701,0.764,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956
109,Mauritius,MUS,4,10944.54,0.77899998,1.261000037193298,13.0,3.03,21.9,4.809544563293457
171,Thailand,THA,7,9295.5703,0.73799998,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
12,Bangladesh,BGD,8,1796.64,0.57499999,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571
119,Nauru,NRU,9,3130.47,NaN,0.0120000001043081,NaN,NaN,48.900002,3.32664942741394
103,Malawi,MWI,4,938.34998,0.47299999,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
11,Bahrain,BHR,3,22498.48,0.82300001,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686
49,Dominica,DMA,10,12613.72,0.72399998,NaN,NaN,5.46,NaN,5.485832691192627
161,Zimbabwe,ZWE,4,15997.67,0.50700003,12.45899963378906,55.70000076293945,6.5,NaN,6.439471244812012
165,Suriname,SUR,10,6049.1499,0.72299999,0.546999990940094,18.5,6.3200002,NaN,5.687469959259033
188,Uruguay,URY,2,12804.84,0.79400003,3.453999996185303,6.199999809265137,6.0300002,24.799999,8.581491470336914
50,Dominican Republic,DOM,2,10376.63,0.71799999,NaN,22.79999923706055,5.9200001,14.5,4.375777721405029
175,United Arab Emirates,ARE,3,20310.109,0.83600003,NaN,7.199999809265137,1.91,NaN,3.643985748291016
134,Paraguay,PRY,2,4812.9199,0.69199997,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756
68,Grenada,GRD,10,8314.5596,0.75099999,NaN,NaN,8.4200001,NaN,6.09761381149292
140,Timor-Leste,TLS,7,1957.8101,0.60299999,1.146000027656555,47.79999923706055,0.5,NaN,1.475303411483765
172,Togo,TGO,4,1036.28,0.484,6.928999900817871,NaN,1.4400001,NaN,5.24687671661377
29,Cameroon,CMR,4,2658.51,0.514,NaN,61.09999847412109,6.1900001,18.799999,4.103671550750732
149,Sao Tome and Principe,STP,4,2150.55,0.565,NaN,NaN,5.6900001,NaN,8.353466033935547
102,Madagascar,MDG,4,822.62,0.51099998,NaN,40.90000152587891,0.87,NaN,3.041355133056641
120,Nepal,NPL,8,1462.08,0.55500001,28.17499923706055,33.59999847412109,0.27000001,24.6,5.797225952148438
133,Papua New Guinea,PNG,9,1693.54,0.51499999,6.880000114440918,NaN,0.88,NaN,4.263570785522461
17,Bolivia,BOL,2,4023.8701,0.671,10.07800006866455,32.79999923706055,3.6199999,NaN,6.334827423095703
182,Macedonia,MKD,1,9610.5996,0.74599999,2.069000005722046,6.5,1.13,NaN,6.476374626159668
167,Sweden,SWE,5,39000.91,0.90899998,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063
10,Bahamas,BHS,10,21672.029,0.79000002,0.3560000061988831,NaN,9.4499998,NaN,7.742364883422852
37,Taiwan,TWN,6,33965.871,NaN,23.43400001525879,3.934564113616943,NaN,NaN,NaN
53,Equatorial Guinea,GNQ,4,15412.43,0.58200002,NaN,NaN,10.72,NaN,3.804079055786133
174,Trinidad and Tobago,TTO,10,22089.16,0.77899998,1.353999972343445,18.39999961853027,6.9400001,NaN,5.933197021484375
98,Libya,LBY,3,4102.8398,0.71899998,6.265999794006348,13.19999980926514,0.0,NaN,4.968935012817383
96,Latvia,LVA,1,16583.67,0.82800001,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945
